timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1571947227119,0,Partido,200,OK,Scenario 1 1-74,text,true,,335,390,100,100,http://localhost:3333/partido,0,0,0
1571947225736,1387,Pessoa sem cache,200,OK,Scenario 1 1-27,text,true,,244,399,100,100,http://localhost:3333/pessoa/sem-cache,1387,0,0
1571947225767,1357,Pessoa sem cache,200,OK,Scenario 1 1-98,text,true,,244,399,100,100,http://localhost:3333/pessoa/sem-cache,1357,0,0
1571947225727,1397,Pessoa sem cache,200,OK,Scenario 1 1-61,text,true,,244,399,100,100,http://localhost:3333/pessoa/sem-cache,1397,0,0
1571947227124,1,Partido,200,OK,Scenario 1 1-27,text,true,,335,390,100,100,http://localhost:3333/partido,1,0,0
1571947227124,1,Partido,200,OK,Scenario 1 1-98,text,true,,335,390,100,100,http://localhost:3333/partido,1,0,0
1571947227125,0,Partido,200,OK,Scenario 1 1-61,text,true,,335,390,100,100,http://localhost:3333/partido,0,0,0
1571947225699,1427,Pessoa sem cache,200,OK,Scenario 1 1-63,text,true,,244,399,100,100,http://localhost:3333/pessoa/sem-cache,1427,0,0
1571947227126,0,Partido,200,OK,Scenario 1 1-63,text,true,,335,390,100,100,http://localhost:3333/partido,0,0,0
1571947225663,1469,Pessoa sem cache,200,OK,Scenario 1 1-83,text,true,,244,399,100,100,http://localhost:3333/pessoa/sem-cache,1469,0,0
1571947225673,1460,Pessoa sem cache,200,OK,Scenario 1 1-90,text,true,,244,399,100,100,http://localhost:3333/pessoa/sem-cache,1460,0,0
1571947227132,1,Partido,200,OK,Scenario 1 1-83,text,true,,335,390,100,100,http://localhost:3333/partido,1,0,0
1571947227133,0,Partido,200,OK,Scenario 1 1-90,text,true,,335,390,100,100,http://localhost:3333/partido,0,0,0
1571947225690,1470,Pessoa sem cache,200,OK,Scenario 1 1-71,text,true,,244,399,100,100,http://localhost:3333/pessoa/sem-cache,1470,0,0
1571947225631,1530,Pessoa sem cache,200,OK,Scenario 1 1-59,text,true,,244,399,100,100,http://localhost:3333/pessoa/sem-cache,1530,0,0
1571947225682,1479,Pessoa sem cache,200,OK,Scenario 1 1-100,text,true,,244,399,100,100,http://localhost:3333/pessoa/sem-cache,1479,0,0
1571947225660,1502,Pessoa sem cache,200,OK,Scenario 1 1-65,text,true,,244,399,100,100,http://localhost:3333/pessoa/sem-cache,1502,0,0
1571947227160,3,Partido,200,OK,Scenario 1 1-71,text,true,,335,390,100,100,http://localhost:3333/partido,3,0,0
1571947227161,2,Partido,200,OK,Scenario 1 1-59,text,true,,335,390,100,100,http://localhost:3333/partido,2,0,0
1571947227162,2,Partido,200,OK,Scenario 1 1-100,text,true,,335,390,100,100,http://localhost:3333/partido,2,0,0
1571947227162,2,Partido,200,OK,Scenario 1 1-65,text,true,,335,390,100,100,http://localhost:3333/partido,2,0,0
1571947227756,1,Page Returning 404,404,Not Found,Scenario 1 1-92,text,true,,424,387,100,100,http://localhost:3333/test,1,0,0
1571947227758,1,Pessoa,200,OK,Scenario 1 1-92,text,true,,321,389,100,100,http://localhost:3333/pessoa,1,0,0
1571947227782,2,Page Returning 404,404,Not Found,Scenario 1 1-21,text,true,,424,387,100,100,http://localhost:3333/test,2,0,0
1571947227784,1,Pessoa,200,OK,Scenario 1 1-21,text,true,,321,389,100,100,http://localhost:3333/pessoa,1,0,0
1571947227786,1,Page Returning 404,404,Not Found,Scenario 1 1-15,text,true,,424,387,100,100,http://localhost:3333/test,1,0,0
1571947227788,1,Pessoa,200,OK,Scenario 1 1-15,text,true,,321,389,100,100,http://localhost:3333/pessoa,1,0,0
